資料区分,都道府県コード,警察署等コード,本票番号,事故内容,死者数,負傷者数,路線コード,地点コード,市区町村コード,発生日時　　年,発生日時　　月,発生日時　　日,発生日時　　時,発生日時　　分,昼夜,日の出時刻　　時,日の出時刻　　分,日の入り時刻　　時,日の入り時刻　　分,天候,地形,路面状態,道路形状,信号機,一時停止規制　標識（当事者A）,一時停止規制　表示（当事者A）,一時停止規制　標識（当事者B）,一時停止規制　表示（当事者B）,車道幅員,道路線形,衝突地点,ゾーン規制,中央分離帯施設等,歩車道区分,事故類型,年齢（当事者A）,年齢（当事者B）,当事者種別（当事者A）,当事者種別（当事者B）,用途別（当事者A）,用途別（当事者B）,車両形状等（当事者A）,車両形状等（当事者B）,オートマチック車（当事者A）,オートマチック車（当事者B）,サポカー（当事者A）,サポカー（当事者B）,速度規制（指定のみ）（当事者A）,速度規制（指定のみ）（当事者B）,車両の衝突部位（当事者A）,車両の衝突部位（当事者B）,車両の損壊程度（当事者A）,車両の損壊程度（当事者B）,エアバッグの装備（当事者A）,エアバッグの装備（当事者B）,サイドエアバッグの装備（当事者A）,サイドエアバッグの装備（当事者B）,人身損傷程度（当事者A）,人身損傷程度（当事者B）,地点　緯度（北緯）,地点　経度（東経）,地点　緯度（北緯）_1,地点　経度（東経）_1,曜日(発生年月日),祝日(発生年月日),認知機能検査経過日数（当事者A）,認知機能検査経過日数（当事者B）,運転練習の方法（当事者A）,運転練習の方法（当事者B）
true,41,103,7,1,1,0,30000,0,202,2023,1,12,1,35,22,6,52,16,45,1,2,1,14,7,0,0,0,0,3,9,1,70,4,2,1,25,35,3,61,31,0,1,0,1,0,11,0,4,0,0,0,3,0,2,0,2,0,4,1,361819411,1392749813,36.305392,139.463837,5,3,9999,0,1,0
true,41,103,8,2,0,1,30000,0,202,2023,1,6,9,39,12,6,53,16,39,1,3,1,1,7,9,22,1,21,14,9,30,70,5,4,21,45,1,13,51,31,41,11,0,1,0,11,0,10,0,10,40,3,3,2,0,2,0,4,2,361812438,1392800833,36.303455,139.466898,6,3,9999,0,9,0
true,41,103,9,2,0,1,10200,0,202,2023,1,11,6,38,23,6,53,16,44,1,3,1,14,7,0,0,0,0,2,9,1,70,4,3,21,25,45,3,4,31,31,1,1,1,2,11,11,4,4,10,30,3,3,2,2,2,2,4,2,361700535,1392825061,36.283482,139.473628,4,3,9999,9999,1,9
true,41,103,10,2,0,1,30000,0,202,2023,1,13,17,20,21,6,52,16,46,2,3,1,14,7,0,0,0,0,2,9,1,70,4,2,41,55,0,51,76,41,0,0,0,0,0,0,0,0,0,20,0,3,0,0,0,0,0,2,0,362118238,1392350997,36.355066,139.397499,6,3,0,0,0,0
true,41,103,11,2,0,1,10380,0,202,2023,1,8,11,46,12,6,53,16,41,1,1,1,1,7,9,22,9,22,15,9,30,70,4,2,21,75,35,14,51,31,41,11,0,1,0,11,0,3,0,80,20,3,3,2,0,2,0,4,2,361934612,1392646647,36.326281,139.446291,1,2,1128,0,9,0
true,41,103,12,2,0,1,99000,0,202,2023,1,3,12,40,12,6,53,16,37,1,2,1,0,7,0,0,0,0,0,0,20,70,0,4,21,65,25,3,3,31,31,1,1,1,1,11,11,10,10,30,10,3,3,2,2,2,2,4,2,361911226,1392837798,36.319785,139.477166,3,3,9999,9999,9,5
true,41,103,13,2,0,1,30000,0,202,2023,1,19,8,45,12,6,50,16,52,1,2,1,1,7,1,22,9,22,14,9,30,70,4,2,21,45,1,4,51,31,41,1,0,1,0,11,0,10,0,10,20,3,3,2,0,2,0,4,2,361950642,1392808105,36.330734,139.468918,5,3,9999,0,1,0
true,41,103,14,2,0,1,500,415,202,2023,1,3,16,40,21,6,53,16,37,1,3,1,14,1,0,0,0,0,2,9,1,70,1,2,21,1,25,3,3,31,31,1,1,1,1,11,11,10,10,10,30,3,3,2,2,2,2,4,2,361808503,1392824953,36.302362,139.473598,3,3,9999,9999,1,1
true,41,103,15,2,0,1,10080,0,202,2023,1,21,16,31,13,6,50,16,54,1,2,1,1,1,9,22,9,22,15,9,30,70,4,2,21,35,45,17,14,31,1,11,11,1,1,11,11,3,3,20,80,2,2,2,2,2,2,4,2,361937304,1392749961,36.327029,139.463878,7,3,0,9999,0,9
true,41,103,16,2,0,2,500,372,202,2023,1,20,11,25,12,6,50,16,53,1,3,1,7,1,0,0,0,0,5,9,1,70,1,2,21,65,35,3,3,31,31,1,1,1,1,11,11,10,10,10,30,2,2,1,2,2,2,4,2,361849442,1392547154,36.313734,139.429765,6,3,9999,9999,9,1
